nmtkp,tgldtgsjp,tglsep,jumlahsep,harilibur
RITL,2022-11-19,2022-11-19T00:00:00.000000Z,33869,0
RITL,2022-11-20,2022-11-20T00:00:00.000000Z,32913,0
RITL,2022-11-21,2022-11-21T00:00:00.000000Z,50239,0
RITL,2022-11-22,2022-11-22T00:00:00.000000Z,47523,0
RITL,2022-11-23,2022-11-23T00:00:00.000000Z,44967,0
RITL,2022-11-24,2022-11-24T00:00:00.000000Z,42943,0
RITL,2022-11-25,2022-11-25T00:00:00.000000Z,40391,0
RITL,2022-11-26,2022-11-26T00:00:00.000000Z,33287,0
RITL,2022-11-27,2022-11-27T00:00:00.000000Z,32528,0
RITL,2022-11-28,2022-11-28T00:00:00.000000Z,48864,0
RITL,2022-11-29,2022-11-29T00:00:00.000000Z,45899,0
RITL,2022-11-30,2022-11-30T00:00:00.000000Z,44980,0
RITL,2022-12-01,2022-12-01T00:00:00.000000Z,44802,0
RITL,2022-12-02,2022-12-02T00:00:00.000000Z,41866,0
RITL,2022-12-03,2022-12-03T00:00:00.000000Z,33968,0
RITL,2022-12-04,2022-12-04T00:00:00.000000Z,33181,0
RITL,2022-12-05,2022-12-05T00:00:00.000000Z,48825,0
RITL,2022-12-06,2022-12-06T00:00:00.000000Z,47091,0
RITL,2022-12-07,2022-12-07T00:00:00.000000Z,46065,0
RITL,2022-12-08,2022-12-08T00:00:00.000000Z,43497,0
RITL,2022-12-09,2022-12-09T00:00:00.000000Z,40715,0
RITL,2022-12-10,2022-12-10T00:00:00.000000Z,34224,0
RITL,2022-12-11,2022-12-11T00:00:00.000000Z,33725,0
RITL,2022-12-12,2022-12-12T00:00:00.000000Z,50495,0
RITL,2022-12-13,2022-12-13T00:00:00.000000Z,46222,0
RITL,2022-12-14,2022-12-14T00:00:00.000000Z,45488,0
RITL,2022-12-15,2022-12-15T00:00:00.000000Z,43662,0
RITL,2022-12-16,2022-12-16T00:00:00.000000Z,40466,0
RITL,2022-12-17,2022-12-17T00:00:00.000000Z,33557,0
RITL,2022-12-18,2022-12-18T00:00:00.000000Z,31885,0
RITL,2022-12-19,2022-12-19T00:00:00.000000Z,48780,0
RITL,2022-12-20,2022-12-20T00:00:00.000000Z,46855,0
RITL,2022-12-21,2022-12-21T00:00:00.000000Z,46660,0
RITL,2022-12-22,2022-12-22T00:00:00.000000Z,44293,0
RITL,2022-12-23,2022-12-23T00:00:00.000000Z,38774,0
RITL,2022-12-24,2022-12-24T00:00:00.000000Z,31680,0
RITL,2022-12-25,2022-12-25T00:00:00.000000Z,30093,1
RITL,2022-12-26,2022-12-26T00:00:00.000000Z,46148,0
RITL,2022-12-27,2022-12-27T00:00:00.000000Z,45576,0
RITL,2022-12-28,2022-12-28T00:00:00.000000Z,43597,0
RITL,2022-12-29,2022-12-29T00:00:00.000000Z,39908,0
RITL,2022-12-30,2022-12-30T00:00:00.000000Z,35853,0
RITL,2022-12-31,2022-12-31T00:00:00.000000Z,26858,0
RITL,2023-01-01,2023-01-01T00:00:00.000000Z,30677,1
RITL,2023-01-02,2023-01-02T00:00:00.000000Z,47290,0
RITL,2023-01-03,2023-01-03T00:00:00.000000Z,47478,0
RITL,2023-01-04,2023-01-04T00:00:00.000000Z,46340,0
RITL,2023-01-05,2023-01-05T00:00:00.000000Z,45599,0
RITL,2023-01-06,2023-01-06T00:00:00.000000Z,42483,0
RITL,2023-01-07,2023-01-07T00:00:00.000000Z,34753,0
RITL,2023-01-08,2023-01-08T00:00:00.000000Z,33360,0
RITL,2023-01-09,2023-01-09T00:00:00.000000Z,51133,0
RITL,2023-01-10,2023-01-10T00:00:00.000000Z,50097,0
RITL,2023-01-11,2023-01-11T00:00:00.000000Z,49040,0
RITL,2023-01-12,2023-01-12T00:00:00.000000Z,46844,0
RITL,2023-01-13,2023-01-13T00:00:00.000000Z,42870,0
RITL,2023-01-14,2023-01-14T00:00:00.000000Z,35535,0
RITL,2023-01-15,2023-01-15T00:00:00.000000Z,34147,0
RITL,2023-01-16,2023-01-16T00:00:00.000000Z,52102,0
RITL,2023-01-17,2023-01-17T00:00:00.000000Z,49024,0
RITL,2023-01-18,2023-01-18T00:00:00.000000Z,48050,0
RITL,2023-01-19,2023-01-19T00:00:00.000000Z,45894,0
RITL,2023-01-20,2023-01-20T00:00:00.000000Z,41869,0
RITL,2023-01-21,2023-01-21T00:00:00.000000Z,33991,0
RITL,2023-01-22,2023-01-22T00:00:00.000000Z,30730,1
RITL,2023-01-23,2023-01-23T00:00:00.000000Z,40892,1
RITL,2023-01-24,2023-01-24T00:00:00.000000Z,50895,0
RITL,2023-01-25,2023-01-25T00:00:00.000000Z,49051,0
RITL,2023-01-26,2023-01-26T00:00:00.000000Z,46621,0
RITL,2023-01-27,2023-01-27T00:00:00.000000Z,41857,0
RITL,2023-01-28,2023-01-28T00:00:00.000000Z,33277,0
RITL,2023-01-29,2023-01-29T00:00:00.000000Z,32902,0
RITL,2023-01-30,2023-01-30T00:00:00.000000Z,50748,0
RITL,2023-01-31,2023-01-31T00:00:00.000000Z,47668,0
RITL,2023-02-01,2023-02-01T00:00:00.000000Z,47637,0
RITL,2023-02-02,2023-02-02T00:00:00.000000Z,46058,0
RITL,2023-02-03,2023-02-03T00:00:00.000000Z,42244,0
RITL,2023-02-04,2023-02-04T00:00:00.000000Z,34644,0
RITL,2023-02-05,2023-02-05T00:00:00.000000Z,33871,0
RITL,2023-02-06,2023-02-06T00:00:00.000000Z,51827,0
RITL,2023-02-07,2023-02-07T00:00:00.000000Z,49073,0
RITL,2023-02-08,2023-02-08T00:00:00.000000Z,48189,0
RITL,2023-02-09,2023-02-09T00:00:00.000000Z,46156,0
RITL,2023-02-10,2023-02-10T00:00:00.000000Z,42434,0
RITL,2023-02-11,2023-02-11T00:00:00.000000Z,34851,0
