nmtkp,tgldtgsjp,jumlahsep,tanggal,harilibur
RJTL,11/5/2022,253264,,0.0
RJTL,11/6/2022,36147,,0.0
RJTL,11/7/2022,533861,,0.0
RJTL,11/8/2022,487140,,0.0
RJTL,11/9/2022,456026,,0.0
RJTL,11/10/2022,465080,,0.0
RJTL,11/11/2022,418590,,0.0
RJTL,11/12/2022,255917,,0.0
RJTL,11/13/2022,38280,,0.0
RJTL,11/14/2022,556155,,0.0
RJTL,11/15/2022,514956,,0.0
RJTL,11/16/2022,467706,,0.0
RJTL,11/17/2022,462959,,0.0
RJTL,11/18/2022,425564,,0.0
RJTL,11/19/2022,259811,,0.0
RJTL,11/20/2022,38059,,0.0
RJTL,11/21/2022,558482,,0.0
RJTL,11/22/2022,518547,,0.0
RJTL,11/23/2022,470683,,0.0
RJTL,11/24/2022,483605,,0.0
RJTL,11/25/2022,423880,,0.0
RJTL,11/26/2022,264305,,0.0
RJTL,11/27/2022,38471,,0.0
RJTL,11/28/2022,562412,,0.0
RJTL,11/29/2022,517367,,0.0
RJTL,11/30/2022,493946,,0.0
RJTL,12/1/2022,478636,,0.0
RJTL,12/2/2022,415777,,0.0
RJTL,12/3/2022,249087,,0.0
RJTL,12/4/2022,37761,,0.0
RJTL,12/5/2022,537291,,0.0
RJTL,12/6/2022,493801,,0.0
RJTL,12/7/2022,492686,,0.0
RJTL,12/8/2022,479597,,0.0
RJTL,12/9/2022,423784,,0.0
RJTL,12/10/2022,260508,,0.0
RJTL,12/11/2022,34418,,0.0
RJTL,12/12/2022,548243,,0.0
RJTL,12/13/2022,497756,,0.0
RJTL,12/14/2022,500734,,0.0
RJTL,12/15/2022,502287,,0.0
RJTL,12/16/2022,425400,,0.0
RJTL,12/17/2022,251037,,0.0
RJTL,12/18/2022,36289,,0.0
RJTL,12/19/2022,545829,,0.0
RJTL,12/20/2022,509536,,0.0
RJTL,12/21/2022,501455,,0.0
RJTL,12/22/2022,498439,,0.0
RJTL,12/23/2022,423365,,0.0
RJTL,12/24/2022,233784,,0.0
RJTL,12/25/2022,31884,12/25/2022,1.0
RJTL,12/26/2022,474151,,0.0
RJTL,12/27/2022,474132,,0.0
RJTL,12/28/2022,490612,,0.0
RJTL,12/29/2022,478449,,0.0
RJTL,12/30/2022,397289,,0.0
RJTL,12/31/2022,190440,,0.0
RJTL,1/1/2023,28934,1/1/2023,1.0
RJTL,1/2/2023,447659,,0.0
RJTL,1/3/2023,472316,,0.0
RJTL,1/4/2023,460199,,0.0
RJTL,1/5/2023,491629,,0.0
RJTL,1/6/2023,448205,,0.0
RJTL,1/7/2023,267888,,0.0
RJTL,1/8/2023,34917,,0.0
RJTL,1/9/2023,566171,,0.0
RJTL,1/10/2023,542677,,0.0
RJTL,1/11/2023,503450,,0.0
RJTL,1/12/2023,521715,,0.0
RJTL,1/13/2023,449043,,0.0
RJTL,1/14/2023,272303,,0.0
RJTL,1/15/2023,36512,,0.0
RJTL,1/16/2023,587632,,0.0
RJTL,1/17/2023,550174,,0.0
RJTL,1/18/2023,503576,,0.0
RJTL,1/19/2023,518602,,0.0
RJTL,1/20/2023,454473,,0.0
RJTL,1/21/2023,276730,,0.0
RJTL,1/22/2023,32332,1/22/2023,1.0
RJTL,1/23/2023,211062,1/23/2023,1.0
RJTL,1/24/2023,618601,,0.0
RJTL,1/25/2023,558662,,0.0
RJTL,1/26/2023,540479,,0.0
RJTL,1/27/2023,470020,,0.0
RJTL,1/28/2023,276239,,0.0
RJTL,1/29/2023,34260,,0.0
RJTL,1/30/2023,559471,,0.0
RJTL,1/31/2023,533677,,0.0
RJTL,2/1/2023,476273,,0.0
RJTL,2/2/2023,494349,,0.0
RJTL,2/3/2023,438120,,0.0
RJTL,2/4/2023,268693,,0.0
RJTL,2/5/2023,35034,,0.0
RJTL,2/6/2023,551072,,0.0
RJTL,2/7/2023,536042,,0.0
RJTL,2/8/2023,502111,,0.0
RJTL,2/9/2023,525078,,0.0
RJTL,2/10/2023,470507,,0.0
RJTL,2/11/2023,283725,,0.0
RJTL,2/12/2023,36434,,0.0
RJTL,2/13/2023,575950,,0.0
RJTL,2/14/2023,549125,,0.0
RJTL,2/15/2023,518080,,0.0
RJTL,2/16/2023,543642,,0.0
RJTL,2/17/2023,489560,,0.0
RJTL,2/18/2023,62905,2/18/2023,1.0
RJTL,2/19/2023,38216,,0.0
RJTL,2/20/2023,604369,,0.0
RJTL,2/21/2023,566344,,0.0
RJTL,2/22/2023,504481,,0.0
RJTL,2/23/2023,517373,,0.0
RJTL,2/24/2023,459800,,0.0
RJTL,2/25/2023,283135,,0.0
RJTL,2/26/2023,39605,,0.0
RJTL,2/27/2023,601208,,0.0
RJTL,2/28/2023,573995,,0.0
RJTL,3/1/2023,511123,,0.0
RJTL,3/2/2023,522689,,0.0
RJTL,3/3/2023,474178,,0.0
RJTL,3/4/2023,269671,,0.0
RJTL,3/5/2023,39035,,0.0
